Date,Flight Number,From,To
04-12-2024,PA006,Tokyo,London
05-12-2024,PA005,London,Tokyo
05-12-2024,PA006,Tokyo,London
06-12-2024,PA005,London,Tokyo
06-12-2024,PA006,Tokyo,London
07-12-2024,PA006,Tokyo,London
08-12-2024,PA005,London,Tokyo
08-12-2024,PA006,Tokyo,London
09-12-2024,PA006,Tokyo,London
10-12-2024,PA005,London,Tokyo
10-12-2024,PA006,Tokyo,London
11-12-2024,PA005,London,Tokyo
12-12-2024,PA005,London,Tokyo
12-12-2024,PA006,Tokyo,London
13-12-2024,PA006,Tokyo,London
14-12-2024,PA005,London,Tokyo
15-12-2024,PA005,London,Tokyo
15-12-2024,PA006,Tokyo,London
16-12-2024,PA005,London,Tokyo
16-12-2024,PA006,Tokyo,London
18-12-2024,PA005,London,Tokyo
19-12-2024,PA006,Tokyo,London
20-12-2024,PA005,London,Tokyo
20-12-2024,PA006,Tokyo,London
21-12-2024,PA005,London,Tokyo
21-12-2024,PA006,Tokyo,London
22-12-2024,PA006,Tokyo,London
23-12-2024,PA006,Tokyo,London
24-12-2024,PA005,London,Tokyo
24-12-2024,PA006,Tokyo,London
25-12-2024,PA005,London,Tokyo
25-12-2024,PA006,Tokyo,London
26-12-2024,PA006,Tokyo,London
27-12-2024,PA005,London,Tokyo
29-12-2024,PA005,London,Tokyo
29-12-2024,PA006,Tokyo,London
31-12-2024,PA005,London,Tokyo
31-12-2024,PA006,Tokyo,London
18-11-2024,PA007,New York,Perth
18-11-2024,PA008,Perth,New York
21-11-2024,PA007,New York,Perth
22-11-2024,PA008,Perth,New York
23-11-2024,PA007,New York,Perth
23-11-2024,PA008,Perth,New York
24-11-2024,PA008,Perth,New York
27-11-2024,PA007,New York,Perth
28-11-2024,PA008,Perth,New York
29-11-2024,PA007,New York,Perth
01-12-2024,PA007,New York,Perth
01-12-2024,PA008,Perth,New York
02-12-2024,PA007,New York,Perth
02-12-2024,PA008,Perth,New York
04-12-2024,PA007,New York,Perth
05-12-2024,PA007,New York,Perth
05-12-2024,PA008,Perth,New York
09-12-2024,PA007,New York,Perth
09-12-2024,PA008,Perth,New York
11-12-2024,PA007,New York,Perth
11-12-2024,PA008,Perth,New York
12-12-2024,PA008,Perth,New York
13-12-2024,PA007,New York,Perth
13-12-2024,PA008,Perth,New York
14-12-2024,PA007,New York,Perth
15-12-2024,PA007,New York,Perth
15-12-2024,PA008,Perth,New York
16-12-2024,PA008,Perth,New York
17-12-2024,PA007,New York,Perth
17-12-2024,PA008,Perth,New York
18-12-2024,PA008,Perth,New York
20-12-2024,PA007,New York,Perth
21-12-2024,PA007,New York,Perth
23-12-2024,PA008,Perth,New York
24-12-2024,PA007,New York,Perth
24-12-2024,PA008,Perth,New York
25-12-2024,PA007,New York,Perth
25-12-2024,PA008,Perth,New York
26-12-2024,PA008,Perth,New York
27-12-2024,PA007,New York,Perth
27-12-2024,PA008,Perth,New York
28-12-2024,PA007,New York,Perth
28-12-2024,PA008,Perth,New York
29-12-2024,PA007,New York,Perth
18-11-2024,PA010,Tokyo,New York
21-11-2024,PA010,Tokyo,New York
22-11-2024,PA010,Tokyo,New York
23-11-2024,PA009,New York,Tokyo
24-11-2024,PA009,New York,Tokyo
24-11-2024,PA010,Tokyo,New York
25-11-2024,PA009,New York,Tokyo
25-11-2024,PA010,Tokyo,New York
26-11-2024,PA010,Tokyo,New York
28-11-2024,PA009,New York,Tokyo
28-11-2024,PA010,Tokyo,New York
29-11-2024,PA009,New York,Tokyo
29-11-2024,PA010,Tokyo,New York
30-11-2024,PA010,Tokyo,New York
01-12-2024,PA010,Tokyo,New York
03-12-2024,PA010,Tokyo,New York
05-12-2024,PA009,New York,Tokyo
05-12-2024,PA010,Tokyo,New York
07-12-2024,PA009,New York,Tokyo
07-12-2024,PA010,Tokyo,New York
08-12-2024,PA009,New York,Tokyo
09-12-2024,PA009,New York,Tokyo
09-12-2024,PA010,Tokyo,New York
10-12-2024,PA010,Tokyo,New York
11-12-2024,PA010,Tokyo,New York
12-12-2024,PA009,New York,Tokyo
12-12-2024,PA010,Tokyo,New York
13-12-2024,PA009,New York,Tokyo
15-12-2024,PA009,New York,Tokyo
15-12-2024,PA010,Tokyo,New York
16-12-2024,PA009,New York,Tokyo
16-12-2024,PA010,Tokyo,New York
17-12-2024,PA009,New York,Tokyo
17-12-2024,PA010,Tokyo,New York
18-12-2024,PA009,New York,Tokyo
18-12-2024,PA010,Tokyo,New York
20-12-2024,PA009,New York,Tokyo
21-12-2024,PA009,New York,Tokyo
22-12-2024,PA010,Tokyo,New York
23-12-2024,PA009,New York,Tokyo
23-12-2024,PA010,Tokyo,New York
24-12-2024,PA010,Tokyo,New York
26-12-2024,PA009,New York,Tokyo
27-12-2024,PA009,New York,Tokyo
28-12-2024,PA009,New York,Tokyo
28-12-2024,PA010,Tokyo,New York
29-12-2024,PA010,Tokyo,New York
31-12-2024,PA010,Tokyo,New York
16-11-2024,PA011,Perth,Tokyo
19-11-2024,PA011,Perth,Tokyo
21-11-2024,PA011,Perth,Tokyo
21-11-2024,PA012,Tokyo,Perth
22-11-2024,PA011,Perth,Tokyo
22-11-2024,PA012,Tokyo,Perth
23-11-2024,PA011,Perth,Tokyo
24-11-2024,PA011,Perth,Tokyo
25-11-2024,PA012,Tokyo,Perth
26-11-2024,PA011,Perth,Tokyo
26-11-2024,PA012,Tokyo,Perth
27-11-2024,PA011,Perth,Tokyo
27-11-2024,PA012,Tokyo,Perth
28-11-2024,PA012,Tokyo,Perth
02-12-2024,PA012,Tokyo,Perth
03-12-2024,PA011,Perth,Tokyo
03-12-2024,PA012,Tokyo,Perth
04-12-2024,PA011,Perth,Tokyo
04-12-2024,PA012,Tokyo,Perth
05-12-2024,PA012,Tokyo,Perth
06-12-2024,PA011,Perth,Tokyo
08-12-2024,PA011,Perth,Tokyo
09-12-2024,PA011,Perth,Tokyo
09-12-2024,PA012,Tokyo,Perth
10-12-2024,PA011,Perth,Tokyo
10-12-2024,PA012,Tokyo,Perth
11-12-2024,PA012,Tokyo,Perth
12-12-2024,PA011,Perth,Tokyo
13-12-2024,PA012,Tokyo,Perth
14-12-2024,PA011,Perth,Tokyo
15-12-2024,PA011,Perth,Tokyo
15-12-2024,PA012,Tokyo,Perth
16-12-2024,PA012,Tokyo,Perth
17-12-2024,PA011,Perth,Tokyo
17-12-2024,PA012,Tokyo,Perth
18-12-2024,PA011,Perth,Tokyo
18-12-2024,PA012,Tokyo,Perth
20-12-2024,PA011,Perth,Tokyo
20-12-2024,PA012,Tokyo,Perth
21-12-2024,PA012,Tokyo,Perth
22-12-2024,PA011,Perth,Tokyo
23-12-2024,PA012,Tokyo,Perth
24-12-2024,PA012,Tokyo,Perth
25-12-2024,PA011,Perth,Tokyo
25-12-2024,PA012,Tokyo,Perth
26-12-2024,PA011,Perth,Tokyo
26-12-2024,PA012,Tokyo,Perth
27-12-2024,PA011,Perth,Tokyo
27-12-2024,PA012,Tokyo,Perth
28-12-2024,PA012,Tokyo,Perth
29-12-2024,PA011,Perth,Tokyo
30-12-2024,PA011,Perth,Tokyo
31-12-2024,PA011,Perth,Tokyo
02-01-2024,PA003,London,Perth
02-01-2024,PA005,London,Tokyo
02-01-2024,PA008,Perth,New York
02-01-2024,PA009,New York,Tokyo
02-01-2024,PA010,Tokyo,New York
02-01-2024,PA011,Perth,Tokyo
02-01-2024,PA012,Tokyo,Perth
03-01-2024,PA001,London,New York
03-01-2024,PA003,London,Perth
03-01-2024,PA004,Perth,London
03-01-2024,PA006,Tokyo,London
03-01-2024,PA007,New York,Perth
03-01-2024,PA008,Perth,New York
03-01-2024,PA010,Tokyo,New York
03-01-2024,PA011,Perth,Tokyo
04-01-2024,PA002,New York,London
04-01-2024,PA003,London,Perth
04-01-2024,PA007,New York,Perth
04-01-2024,PA010,Tokyo,New York
04-01-2024,PA011,Perth,Tokyo
04-01-2024,PA012,Tokyo,Perth
05-01-2024,PA001,London,New York
05-01-2024,PA004,Perth,London
05-01-2024,PA007,New York,Perth
05-01-2024,PA009,New York,Tokyo
05-01-2024,PA010,Tokyo,New York
05-01-2024,PA011,Perth,Tokyo
05-01-2024,PA012,Tokyo,Perth
06-01-2024,PA001,London,New York
06-01-2024,PA003,London,Perth
06-01-2024,PA004,Perth,London
06-01-2024,PA006,Tokyo,London
06-01-2024,PA007,New York,Perth
06-01-2024,PA008,Perth,New York
06-01-2024,PA011,Perth,Tokyo
06-01-2024,PA012,Tokyo,Perth
07-01-2024,PA001,London,New York
07-01-2024,PA002,New York,London
07-01-2024,PA003,London,Perth
07-01-2024,PA010,Tokyo,New York
07-01-2024,PA011,Perth,Tokyo
07-01-2024,PA012,Tokyo,Perth
08-01-2024,PA007,New York,Perth
08-01-2024,PA008,Perth,New York
08-01-2024,PA009,New York,Tokyo
08-01-2024,PA010,Tokyo,New York
08-01-2024,PA011,Perth,Tokyo
08-01-2024,PA012,Tokyo,Perth
09-01-2024,PA001,London,New York
09-01-2024,PA002,New York,London
09-01-2024,PA006,Tokyo,London
09-01-2024,PA008,Perth,New York
09-01-2024,PA010,Tokyo,New York
09-01-2024,PA011,Perth,Tokyo
09-01-2024,PA012,Tokyo,Perth
10-01-2024,PA001,London,New York
10-01-2024,PA002,New York,London
10-01-2024,PA003,London,Perth
10-01-2024,PA005,London,Tokyo
10-01-2024,PA007,New York,Perth
10-01-2024,PA010,Tokyo,New York
11-01-2024,PA001,London,New York
11-01-2024,PA002,New York,London
11-01-2024,PA003,London,Perth
11-01-2024,PA004,Perth,London
11-01-2024,PA005,London,Tokyo
11-01-2024,PA008,Perth,New York
11-01-2024,PA009,New York,Tokyo
11-01-2024,PA010,Tokyo,New York
11-01-2024,PA011,Perth,Tokyo
11-01-2024,PA012,Tokyo,Perth
12-01-2024,PA003,London,Perth
12-01-2024,PA004,Perth,London
12-01-2024,PA006,Tokyo,London
12-01-2024,PA007,New York,Perth
12-01-2024,PA008,Perth,New York
12-01-2024,PA009,New York,Tokyo
12-01-2024,PA010,Tokyo,New York
12-01-2024,PA011,Perth,Tokyo
13-01-2024,PA001,London,New York
13-01-2024,PA002,New York,London
13-01-2024,PA006,Tokyo,London
13-01-2024,PA007,New York,Perth
13-01-2024,PA008,Perth,New York
13-01-2024,PA010,Tokyo,New York
14-01-2024,PA004,Perth,London
14-01-2024,PA005,London,Tokyo
14-01-2024,PA010,Tokyo,New York
14-01-2024,PA012,Tokyo,Perth
15-01-2024,PA001,London,New York
15-01-2024,PA002,New York,London
15-01-2024,PA003,London,Perth
15-01-2024,PA004,Perth,London
15-01-2024,PA005,London,Tokyo
15-01-2024,PA006,Tokyo,London
15-01-2024,PA008,Perth,New York
15-01-2024,PA009,New York,Tokyo
16-01-2024,PA002,New York,London
16-01-2024,PA003,London,Perth
16-01-2024,PA007,New York,Perth
16-01-2024,PA009,New York,Tokyo
16-01-2024,PA010,Tokyo,New York
16-01-2024,PA012,Tokyo,Perth
17-01-2024,PA002,New York,London
17-01-2024,PA003,London,Perth
17-01-2024,PA004,Perth,London
17-01-2024,PA005,London,Tokyo
17-01-2024,PA006,Tokyo,London
17-01-2024,PA009,New York,Tokyo
17-01-2024,PA010,Tokyo,New York
17-01-2024,PA012,Tokyo,Perth
18-01-2024,PA001,London,New York
18-01-2024,PA003,London,Perth
18-01-2024,PA004,Perth,London
18-01-2024,PA005,London,Tokyo
18-01-2024,PA006,Tokyo,London
18-01-2024,PA007,New York,Perth
18-01-2024,PA009,New York,Tokyo
18-01-2024,PA010,Tokyo,New York
18-01-2024,PA012,Tokyo,Perth
19-01-2024,PA004,Perth,London
19-01-2024,PA005,London,Tokyo
19-01-2024,PA006,Tokyo,London
19-01-2024,PA007,New York,Perth
19-01-2024,PA009,New York,Tokyo
19-01-2024,PA010,Tokyo,New York
19-01-2024,PA011,Perth,Tokyo
19-01-2024,PA012,Tokyo,Perth
20-01-2024,PA002,New York,London
20-01-2024,PA004,Perth,London
20-01-2024,PA008,Perth,New York
20-01-2024,PA009,New York,Tokyo
20-01-2024,PA010,Tokyo,New York
20-01-2024,PA012,Tokyo,Perth
21-01-2024,PA001,London,New York
21-01-2024,PA003,London,Perth
21-01-2024,PA005,London,Tokyo
21-01-2024,PA006,Tokyo,London
21-01-2024,PA009,New York,Tokyo
21-01-2024,PA011,Perth,Tokyo
21-01-2024,PA012,Tokyo,Perth
22-01-2024,PA005,London,Tokyo
22-01-2024,PA006,Tokyo,London
22-01-2024,PA007,New York,Perth
22-01-2024,PA008,Perth,New York
22-01-2024,PA011,Perth,Tokyo
22-01-2024,PA012,Tokyo,Perth
23-01-2024,PA001,London,New York
23-01-2024,PA002,New York,London
23-01-2024,PA003,London,Perth
23-01-2024,PA005,London,Tokyo
23-01-2024,PA007,New York,Perth
23-01-2024,PA008,Perth,New York
23-01-2024,PA009,New York,Tokyo
23-01-2024,PA010,Tokyo,New York
23-01-2024,PA011,Perth,Tokyo
24-01-2024,PA003,London,Perth
24-01-2024,PA005,London,Tokyo
24-01-2024,PA007,New York,Perth
24-01-2024,PA011,Perth,Tokyo
24-01-2024,PA012,Tokyo,Perth
25-01-2024,PA001,London,New York
25-01-2024,PA003,London,Perth
25-01-2024,PA006,Tokyo,London
25-01-2024,PA007,New York,Perth
25-01-2024,PA010,Tokyo,New York
25-01-2024,PA012,Tokyo,Perth
26-01-2024,PA001,London,New York
26-01-2024,PA003,London,Perth
26-01-2024,PA004,Perth,London
26-01-2024,PA008,Perth,New York
26-01-2024,PA009,New York,Tokyo
26-01-2024,PA010,Tokyo,New York
26-01-2024,PA011,Perth,Tokyo
27-01-2024,PA001,London,New York
27-01-2024,PA002,New York,London
27-01-2024,PA003,London,Perth
27-01-2024,PA004,Perth,London
27-01-2024,PA005,London,Tokyo
27-01-2024,PA006,Tokyo,London
27-01-2024,PA007,New York,Perth
27-01-2024,PA008,Perth,New York
27-01-2024,PA010,Tokyo,New York
27-01-2024,PA011,Perth,Tokyo
28-01-2024,PA001,London,New York
28-01-2024,PA004,Perth,London
28-01-2024,PA006,Tokyo,London
28-01-2024,PA009,New York,Tokyo
28-01-2024,PA010,Tokyo,New York
28-01-2024,PA011,Perth,Tokyo
29-01-2024,PA001,London,New York
29-01-2024,PA002,New York,London
29-01-2024,PA004,Perth,London
29-01-2024,PA006,Tokyo,London
29-01-2024,PA007,New York,Perth
29-01-2024,PA008,Perth,New York
29-01-2024,PA009,New York,Tokyo
29-01-2024,PA010,Tokyo,New York
29-01-2024,PA012,Tokyo,Perth
30-01-2024,PA002,New York,London
30-01-2024,PA004,Perth,London
30-01-2024,PA007,New York,Perth
30-01-2024,PA010,Tokyo,New York
31-01-2024,PA001,London,New York
31-01-2024,PA002,New York,London
31-01-2024,PA003,London,Perth
31-01-2024,PA004,Perth,London
31-01-2024,PA005,London,Tokyo
31-01-2024,PA009,New York,Tokyo
31-01-2024,PA010,Tokyo,New York
31-01-2024,PA011,Perth,Tokyo
31-01-2024,PA012,Tokyo,Perth
01-02-2024,PA001,London,New York
01-02-2024,PA004,Perth,London
01-02-2024,PA005,London,Tokyo
01-02-2024,PA009,New York,Tokyo
01-02-2024,PA010,Tokyo,New York
01-02-2024,PA011,Perth,Tokyo
01-02-2024,PA012,Tokyo,Perth
02-02-2024,PA001,London,New York
02-02-2024,PA002,New York,London
02-02-2024,PA003,London,Perth
02-02-2024,PA005,London,Tokyo
02-02-2024,PA006,Tokyo,London
02-02-2024,PA008,Perth,New York
02-02-2024,PA012,Tokyo,Perth
03-02-2024,PA003,London,Perth
03-02-2024,PA004,Perth,London
03-02-2024,PA005,London,Tokyo
03-02-2024,PA008,Perth,New York
03-02-2024,PA012,Tokyo,Perth
04-02-2024,PA001,London,New York
04-02-2024,PA003,London,Perth
04-02-2024,PA004,Perth,London
04-02-2024,PA005,London,Tokyo
04-02-2024,PA008,Perth,New York
04-02-2024,PA011,Perth,Tokyo
04-02-2024,PA012,Tokyo,Perth
05-02-2024,PA006,Tokyo,London
05-02-2024,PA008,Perth,New York
05-02-2024,PA011,Perth,Tokyo
05-02-2024,PA012,Tokyo,Perth
06-02-2024,PA002,New York,London
06-02-2024,PA003,London,Perth
06-02-2024,PA004,Perth,London
06-02-2024,PA005,London,Tokyo
06-02-2024,PA007,New York,Perth
06-02-2024,PA012,Tokyo,Perth
07-02-2024,PA001,London,New York
07-02-2024,PA002,New York,London
07-02-2024,PA003,London,Perth
07-02-2024,PA004,Perth,London
07-02-2024,PA006,Tokyo,London
07-02-2024,PA007,New York,Perth
07-02-2024,PA008,Perth,New York
07-02-2024,PA009,New York,Tokyo
07-02-2024,PA010,Tokyo,New York
07-02-2024,PA012,Tokyo,Perth
08-02-2024,PA002,New York,London
08-02-2024,PA006,Tokyo,London
08-02-2024,PA008,Perth,New York
08-02-2024,PA009,New York,Tokyo
08-02-2024,PA010,Tokyo,New York
09-02-2024,PA001,London,New York
09-02-2024,PA003,London,Perth
09-02-2024,PA005,London,Tokyo
09-02-2024,PA008,Perth,New York
09-02-2024,PA010,Tokyo,New York
10-02-2024,PA001,London,New York
10-02-2024,PA002,New York,London
10-02-2024,PA005,London,Tokyo
10-02-2024,PA007,New York,Perth
10-02-2024,PA009,New York,Tokyo
10-02-2024,PA010,Tokyo,New York
10-02-2024,PA012,Tokyo,Perth
11-02-2024,PA005,London,Tokyo
11-02-2024,PA006,Tokyo,London
11-02-2024,PA007,New York,Perth
11-02-2024,PA008,Perth,New York
11-02-2024,PA009,New York,Tokyo
11-02-2024,PA011,Perth,Tokyo
11-02-2024,PA012,Tokyo,Perth
12-02-2024,PA001,London,New York
12-02-2024,PA002,New York,London
12-02-2024,PA003,London,Perth
12-02-2024,PA004,Perth,London
12-02-2024,PA005,London,Tokyo
12-02-2024,PA006,Tokyo,London
12-02-2024,PA008,Perth,New York
12-02-2024,PA010,Tokyo,New York
12-02-2024,PA011,Perth,Tokyo
12-02-2024,PA012,Tokyo,Perth
13-02-2024,PA001,London,New York
13-02-2024,PA003,London,Perth
13-02-2024,PA004,Perth,London
13-02-2024,PA005,London,Tokyo
13-02-2024,PA010,Tokyo,New York
14-02-2024,PA002,New York,London
14-02-2024,PA004,Perth,London
14-02-2024,PA006,Tokyo,London
14-02-2024,PA007,New York,Perth
14-02-2024,PA009,New York,Tokyo
14-02-2024,PA010,Tokyo,New York
15-02-2024,PA002,New York,London
15-02-2024,PA004,Perth,London
15-02-2024,PA005,London,Tokyo
15-02-2024,PA006,Tokyo,London
15-02-2024,PA008,Perth,New York
15-02-2024,PA009,New York,Tokyo
15-02-2024,PA010,Tokyo,New York
15-02-2024,PA011,Perth,Tokyo
15-02-2024,PA012,Tokyo,Perth
16-02-2024,PA001,London,New York
16-02-2024,PA002,New York,London
16-02-2024,PA003,London,Perth
16-02-2024,PA006,Tokyo,London
16-02-2024,PA009,New York,Tokyo
16-02-2024,PA010,Tokyo,New York
16-02-2024,PA012,Tokyo,Perth
17-02-2024,PA001,London,New York
17-02-2024,PA002,New York,London
17-02-2024,PA003,London,Perth
17-02-2024,PA007,New York,Perth
17-02-2024,PA008,Perth,New York
17-02-2024,PA012,Tokyo,Perth
18-02-2024,PA005,London,Tokyo
18-02-2024,PA006,Tokyo,London
18-02-2024,PA008,Perth,New York
18-02-2024,PA011,Perth,Tokyo
18-02-2024,PA012,Tokyo,Perth
19-02-2024,PA002,New York,London
19-02-2024,PA003,London,Perth
19-02-2024,PA004,Perth,London
19-02-2024,PA005,London,Tokyo
19-02-2024,PA006,Tokyo,London
19-02-2024,PA008,Perth,New York
19-02-2024,PA009,New York,Tokyo
19-02-2024,PA010,Tokyo,New York
19-02-2024,PA011,Perth,Tokyo
19-02-2024,PA012,Tokyo,Perth
20-02-2024,PA002,New York,London
20-02-2024,PA004,Perth,London
20-02-2024,PA005,London,Tokyo
20-02-2024,PA007,New York,Perth
21-02-2024,PA002,New York,London
21-02-2024,PA003,London,Perth
21-02-2024,PA004,Perth,London
21-02-2024,PA007,New York,Perth
21-02-2024,PA008,Perth,New York
21-02-2024,PA011,Perth,Tokyo
22-02-2024,PA001,London,New York
22-02-2024,PA002,New York,London
22-02-2024,PA005,London,Tokyo
22-02-2024,PA006,Tokyo,London
22-02-2024,PA007,New York,Perth
22-02-2024,PA008,Perth,New York
22-02-2024,PA009,New York,Tokyo
22-02-2024,PA011,Perth,Tokyo
22-02-2024,PA012,Tokyo,Perth
23-02-2024,PA002,New York,London
23-02-2024,PA003,London,Perth
23-02-2024,PA006,Tokyo,London
23-02-2024,PA009,New York,Tokyo
23-02-2024,PA012,Tokyo,Perth
24-02-2024,PA002,New York,London
24-02-2024,PA003,London,Perth
24-02-2024,PA005,London,Tokyo
24-02-2024,PA006,Tokyo,London
24-02-2024,PA007,New York,Perth
24-02-2024,PA008,Perth,New York
24-02-2024,PA009,New York,Tokyo
24-02-2024,PA010,Tokyo,New York
25-02-2024,PA002,New York,London
25-02-2024,PA003,London,Perth
25-02-2024,PA004,Perth,London
25-02-2024,PA005,London,Tokyo
25-02-2024,PA006,Tokyo,London
25-02-2024,PA009,New York,Tokyo
25-02-2024,PA010,Tokyo,New York
25-02-2024,PA011,Perth,Tokyo
26-02-2024,PA001,London,New York
26-02-2024,PA002,New York,London
26-02-2024,PA003,London,Perth
26-02-2024,PA006,Tokyo,London
26-02-2024,PA007,New York,Perth
26-02-2024,PA009,New York,Tokyo
27-02-2024,PA001,London,New York
27-02-2024,PA002,New York,London
27-02-2024,PA004,Perth,London
27-02-2024,PA005,London,Tokyo
27-02-2024,PA007,New York,Perth
27-02-2024,PA009,New York,Tokyo
28-02-2024,PA003,London,Perth
28-02-2024,PA005,London,Tokyo
28-02-2024,PA006,Tokyo,London
28-02-2024,PA007,New York,Perth
28-02-2024,PA008,Perth,New York
28-02-2024,PA009,New York,Tokyo
28-02-2024,PA010,Tokyo,New York
28-02-2024,PA011,Perth,Tokyo
29-02-2024,PA001,London,New York
29-02-2024,PA003,London,Perth
29-02-2024,PA007,New York,Perth
29-02-2024,PA008,Perth,New York
29-02-2024,PA009,New York,Tokyo
29-02-2024,PA010,Tokyo,New York
01-03-2024,PA004,Perth,London
01-03-2024,PA005,London,Tokyo
01-03-2024,PA007,New York,Perth
01-03-2024,PA008,Perth,New York
01-03-2024,PA010,Tokyo,New York
02-03-2024,PA001,London,New York
02-03-2024,PA003,London,Perth
02-03-2024,PA004,Perth,London
02-03-2024,PA006,Tokyo,London
02-03-2024,PA007,New York,Perth
02-03-2024,PA008,Perth,New York
02-03-2024,PA009,New York,Tokyo
02-03-2024,PA011,Perth,Tokyo
02-03-2024,PA012,Tokyo,Perth
03-03-2024,PA001,London,New York
03-03-2024,PA003,London,Perth
03-03-2024,PA005,London,Tokyo
03-03-2024,PA006,Tokyo,London
03-03-2024,PA009,New York,Tokyo
04-03-2024,PA001,London,New York
04-03-2024,PA004,Perth,London
04-03-2024,PA005,London,Tokyo
04-03-2024,PA006,Tokyo,London
04-03-2024,PA007,New York,Perth
04-03-2024,PA008,Perth,New York
04-03-2024,PA009,New York,Tokyo
04-03-2024,PA010,Tokyo,New York
05-03-2024,PA001,London,New York
05-03-2024,PA003,London,Perth
05-03-2024,PA004,Perth,London
05-03-2024,PA005,London,Tokyo
05-03-2024,PA006,Tokyo,London
05-03-2024,PA008,Perth,New York
05-03-2024,PA011,Perth,Tokyo
05-03-2024,PA012,Tokyo,Perth
06-03-2024,PA003,London,Perth
06-03-2024,PA004,Perth,London
06-03-2024,PA006,Tokyo,London
06-03-2024,PA009,New York,Tokyo
06-03-2024,PA010,Tokyo,New York
06-03-2024,PA012,Tokyo,Perth
07-03-2024,PA001,London,New York
07-03-2024,PA002,New York,London
07-03-2024,PA003,London,Perth
07-03-2024,PA005,London,Tokyo
07-03-2024,PA006,Tokyo,London
07-03-2024,PA008,Perth,New York
07-03-2024,PA009,New York,Tokyo
08-03-2024,PA003,London,Perth
08-03-2024,PA004,Perth,London
08-03-2024,PA006,Tokyo,London
